Company,Job,Degree,Salary_More_than_100k
Google,Sales Executive,Bachelor,0
Google,Sales Executive,Masters,0
Google,Business Manager,Bachelor,1
Google,Business Manager,Masters,1
Google,Computer Programmer,Bachelor,0
Google,Computer Programmer,Masters,1
abc Pharma,Sales Executive,Masters,0
abc Pharma,Computer Programmer,Bachelor,0
abc Pharma,Business Manager,Bachelor,0
abc Pharma,Business Manager,Masters,1
Facebook,Sales Executive,Bachelor,1
Facebook,Sales Executive,Masters,1
Facebook,Business Manager,Bachelor,1
Facebook,Business Manager,Masters,1
Facebook,Computer Programmer,Bachelor,1
Facebook,Computer Programmer,Masters,1
